ProblemName,Seed,T_combined,T_confgraph,T_dualproof,T_noLPinf,N_combined,N_confgraph,N_dualproof,N_noLPinf,DI_combined,DI_confgraph,DI_dualproof,DI_noLPinf,Gap_combined,Gap_confgraph,Gap_dualproof,Gap_noLPinf,GapQ_combined,GapQ_confgraph,GapQ_dualproof,GapQ_noLPinf,TQ_combined,TQ_confgraph,TQ_dualproof,TQ_noLPinf,NQ_combined,NQ_confgraph,NQ_dualproof,NQ_noLPinf,DIQ_combined,DIQ_confgraph,DIQ_dualproof,DIQ_noLPinf
mcsched,1,235.33,234.36,251.72,250.87,9846,9846,9346,9466,1526.8396988386748,1520.3786115056655,1561.979811526428,1535.5420219618422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380555666281342,0.9341890222027345,1.0033882090325665,1.0,1.0401436720895838,1.0401436720895838,0.9873230509190788,1.0,0.9943327352825883,0.9901250436397673,1.0172172361201866,1.0
mcsched,2,306.32,296.46,302.05,300.36,12017,10929,10393,10393,1859.5953523379876,1776.6413174274348,1747.4142006389425,1738.6197925563802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0198428552403782,0.9870155813024369,1.0056265814356107,1.0,1.1562590204945637,1.0515731742519003,1.0,1.0,1.0695813773083367,1.0218687979015526,1.005058269853026,1.0
mik-250-20-75-4,0,52.78,52.24,37.57,37.33,23893,23893,18256,18256,107.01789825612364,106.13944350982773,86.02017831571436,85.40894609051908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4138762389499064,1.3994106616662203,1.006429145459416,1.0,1.3087751971954427,1.3087751971954427,1.0,1.0,1.2530057231089435,1.2427204452018155,1.0071565363252168,1.0
mik-250-20-75-4,1,43.96,43.42,33.97,33.56,15175,15175,11362,11362,93.44212336624948,92.48749393251163,72.30482397263222,71.66157452207737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3098927294398093,1.2938021454112039,1.0122169249106077,1.0,1.3355923252948425,1.3355923252948425,1.0,1.0,1.3039362306707618,1.290614873442646,1.0089762115170477,1.0
mik-250-20-75-4,2,52.36,51.68,44.17,43.44,20733,20733,19440,19440,102.09678426494193,101.22438337166437,94.80354758044707,93.58260945581117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205340699815838,1.1896869244935544,1.0168047882136282,1.0,1.0665123456790124,1.0665123456790124,1.0,1.0,1.090980309895623,1.0816580554901238,1.0130466347512186,1.0
milo-v12-6-r2-40-1,0,7200.0,7200.0,7200.0,7200.0,189681,182031,267871,316375,79207.61466006056,100633.38399934098,90693.11451121977,94355.03042049448,9.47,11.75,12.13,11.69,0.8100940975192473,1.0051325919589393,1.037639007698888,1.0,1.0,1.0,1.0,1.0,0.5995448439352035,0.5753646779928882,0.8466882655077045,1.0,0.8394636121367429,1.0665396805116476,0.96119002990137,1.0
milo-v12-6-r2-40-1,1,7200.0,7200.0,7200.0,7200.0,323326,281347,651134,625060,81782.87738585594,72881.26900422272,104582.58155584209,108310.91279315745,8.96,7.15,14.88,14.53,0.6166551961459051,0.4920853406744667,1.0240880935994494,1.0,1.0,1.0,1.0,1.0,0.5172719418935782,0.4501119892490321,1.04171439541804,1.0,0.7550751376459878,0.6728894358355643,0.9655775106942789,1.0
milo-v12-6-r2-40-1,2,7200.0,7200.0,7200.0,7200.0,417232,253424,352982,417505,97888.78422859934,74184.9454253356,71486.4543470714,109876.9811103472,11.33,8.0,7.72,15.59,0.72674791533034,0.5131494547787043,0.49518922386144965,1.0,1.0,1.0,1.0,1.0,0.9993461156153819,0.6069963233973246,0.8454557430449935,1.0,0.8908943733200281,0.6751636664537878,0.6506044635070471,1.0
momentum1,0,7200.0,7200.0,7200.0,7200.0,94037,84524,102188,220224,79914.88134654582,82753.59690451906,76898.80156093318,60808.57988799852,24.76,18.92,17.09,6.26,3.955271565495208,3.0223642172523966,2.730031948881789,1.0,1.0,1.0,1.0,1.0,0.4270061392037198,0.3838092124382447,0.4640184539378088,1.0,1.3142040398532349,1.3608868527589428,1.2646044637544693,1.0
momentum1,1,7200.0,7200.0,7200.0,7200.0,91471,139445,160967,168760,71367.0671568113,59965.16108533303,70329.96523831719,75285.41666343123,7.36,6.07,8.42,10.07,0.730883813306852,0.602780536246276,0.8361469712015889,1.0,1.0,1.0,1.0,1.0,0.5420182507703247,0.8262917753022043,0.9538219957335862,1.0,0.9479534061139997,0.7965043396573273,0.9341778043513032,1.0
momentum1,2,7200.0,7200.0,7200.0,7200.0,188055,118833,83468,124661,70421.87485321786,68063.30385689458,50982.33565063591,70799.11227644546,6.53,15.71,12.48,22.05,0.2961451247165533,0.7124716553287982,0.5659863945578232,1.0,1.0,1.0,1.0,1.0,1.5085311364420309,0.9532492118625713,0.6695598463031742,1.0,0.9946717209990624,0.9613581536323715,0.7200985155233013,1.0
mushroom-best,0,579.5,914.59,686.16,601.92,27393,49975,45244,38299,20569.405130947434,26367.463219772955,19025.215282331104,17329.734764755154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9627525252525253,1.519454412546518,1.1399521531100478,1.0,0.7152406068043552,1.3048643567717173,1.1813363273192512,1.0,1.1869428707461267,1.5215156825942044,1.0978364955142985,1.0
