ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
cvs16r128-89,1,7200.0,7200.0,34973,34961,137236.28053173164,137251.02923820785,22.61,22.61,1.0,1.0,1.0,1.0,1.000343239609851,1.0,0.9998925421065469,1.0
cvs16r128-89,2,7200.0,7200.0,47219,47542,134079.04376807137,133983.00150088957,23.01,23.0,1.0004347826086957,1.0,1.0,1.0,0.9932060073198435,1.0,1.000716824269541,1.0
dano3_3,0,143.7,144.01,10,10,1862.9259719075267,1870.4272414191403,0.0,0.0,0.0,0.0,0.9978473717102979,1.0,1.0,1.0,0.9959895422043136,1.0
dano3_3,1,142.65,142.48,14,14,1263.5882429307567,1263.585572546716,0.0,0.0,0.0,0.0,1.0011931499157778,1.0,1.0,1.0,1.0000021133385018,1.0
dano3_3,2,124.56,124.93,17,17,1592.932607518342,1595.4362581804883,0.0,0.0,0.0,0.0,0.9970383414712238,1.0,1.0,1.0,0.998430742281737,1.0
dano3_5,0,635.04,635.51,276,276,1347.909644561208,1342.993519652061,0.0,0.0,0.0,0.0,0.999260436499819,1.0,1.0,1.0,1.0036605723238492,1.0
dano3_5,1,285.81,285.29,159,159,1780.2608740715739,1780.2126459070907,0.0,0.0,0.0,0.0,1.0018227067194783,1.0,1.0,1.0,1.0000270912380014,1.0
dano3_5,2,285.94,286.06,140,140,1567.9150744635906,1575.4090116673776,0.0,0.0,0.0,0.0,0.9995805075858212,1.0,1.0,1.0,0.9952431799308704,1.0
decomp2,0,2.39,2.42,1,1,120.0,120.0,0.0,0.0,0.0,0.0,0.987603305785124,1.0,1.0,1.0,1.0,1.0
decomp2,1,2.42,2.47,1,1,114.99999999999999,114.99999999999999,0.0,0.0,0.0,0.0,0.9797570850202428,1.0,1.0,1.0,1.0,1.0
